imageid,name,player,team,year,brand,cardNumber,condition,rarity,description,imageUrl,price
1,1991-92 アッパーデック プロモ マイケル・ジョーダン #1,マイケル・ジョーダン,シカゴ・ブルズ,1991,アッパーデック,1,PSA 10 (Gem Mint),プロモ,"1996-97 フリーア・ウルトラ バスケットボールカード。
カード番号82。
PSA/DNA サイン鑑定10。",https://i.ebayimg.com/images/g/rbYAAOSwBMloI1cH/s-l1600.webp,US $299.00
2,アレン・アイバーソン 1996-97 フリーア・ウルトラ 直筆サイン ルーキーカード #82 PSA/DNA 10,アレン・アイバーソン,フィラデルフィア・76ers,1996,フリーア・ウルトラ,82,PSA 10 (Gem Mint),ルーキー、サイン入り、オリジナル,このカードは1996-97 フリーア・ウルトラ バスケットボールシリーズです。カード番号82。サインはPSA/DNAにより10と鑑定されています。,https://i.ebayimg.com/images/g/vQ8AAOSwAUtj5REk/s-l1600.webp,US $140.95
3,2020 パニーニ・プリズム ラメロ・ボール センセーショナル・オート #SS-LMB PSA 10 ルーキー RC,ラメロ・ボール,シャーロット・ホーネッツ,2020,パニーニ・プリズム,SS-LMB,PSA 10 (Gem Mint),ルーキー、サイン入り、センセーショナル・オート,ラメロ・ボール直筆サイン入り、PSA 10 鑑定済み,https://i.ebayimg.com/images/g/aXoAAeSwlfZoildN/s-l1600.webp,US $275.00
4,2019-20 マジック・ジョンソン オート パニーニ・プリズム チョイス シグネチャー SP インサート #SG-MJN PSA 9,マイケル・ジョーダン,ロサンゼルス・レイカーズ,2019,パニーニ・プリズム,SG-MJN,PSA 9 (Mint),インサート、ショートプリント、オートグラフ、シグネチャーズ,"2014-15 パニーニ・プリズム - [ベース] - ブルー・プリズム
#254 アーロン・ゴードン",https://i.ebayimg.com/images/g/jB8AAeSwR8hoF2Ov/s-l1600.webp,US $149.99
5,2014-15 パニーニ・プリズム ブルー・プリズム アーロン・ゴードン #254 PSA 9 ミント,アーロン・ゴードン,オーランド・マジック,2014,パニーニ・プリズム,254,PSA 9 (Mint),ルーキー、シリアルナンバー入り、ブルー・プリズム,2014-15 パニーニ・プリズム - [ベース] - ブルー・プリズム #254 アーロン・ゴードン,https://i.ebayimg.com/images/g/7~8AAeSwwHFof5ce/s-l1600.webp,US $155.91
6,2023 パニーニ・モザイク ビクター・ウェンバンヤマ #282,ビクター・ウェンバンヤマ,サンアントニオ・スパーズ,2023,パニーニ・モザイク,282,PSA 9 (Mint),ルーキー,2023 モザイク シティエディション #282 ビクター・ウェンバンヤマ ベース RC PSA 9 MINT スパーズ ルーキー,https://i.ebayimg.com/images/g/u3kAAOSwGdhnQgkV/s-l1600.webp,US $19.95
7,2023 パニーニ・フープス プレミアムストック ステフィン・カリー アンチグラビティ プレミアム ブルー PSA 10 /25,ステフィン・カリー,ゴールデンステート・ウォリアーズ,2023,パニーニ・プレミアムストック,3,PSA 10 (Gem Mint),優良,2024-25 パニーニ・モザイク NBAグレイツ デリック・ローズ #292 ゴールド /10 トレーディングカードは、伝説のバスケットボール選手デリック・ローズを起用した希少なコレクターズアイテムです。,https://i.ebayimg.com/images/g/r9AAAOSwTahn8z9u/s-l1600.webp,US $299.95
8,2024-25 パニーニ・モザイク NBAグレイツ デリック・ローズ #292 ゴールド /10,デリック・ローズ,シカゴ・ブルズ,2024,パニーニ,292,未査定,モザイク,2024-25 パニーニ・モザイク NBAグレイツ デリック・ローズ #292 ゴールド /10 トレーディングカードは、伝説のバスケットボール選手デリック・ローズを起用した希少なコレクターズアイテムです。,https://i.ebayimg.com/images/g/ezAAAeSwzgNoxgfG/s-l1600.webp,US $500.00
9,2024-25 フープス・プレミアム マタス・ブゼリス #241,マタス・ブゼリス,シカゴ・ブルズ,2024,パニーニ・フープス・プレミアム,241,未査定,プレミアム / ルーキー,2024-25 パニーニ・フープス プレミアム マタス・ブゼリス ルーキーカード (#241),https://i.ebayimg.com/images/g/4UsAAOSwl4hoSCuI/s-l1600.webp,US $10.92
10,ビクター・ウェンバンヤマ 2023 パニーニ・フープス プレミアムストック フープラ - フープラ ブルーアイス PSA 9,ビクター・ウェンバンヤマ,サンアントニオ・スパーズ,2023,パニーニ,5,PSA 9 (Mint),パラレル / バラエティ,#/99 2023 パニーニ・フープス プレミアムストック フープラ #5 ビクター・ウェンバンヤマ ブルーアイス PSA 9,https://i.ebayimg.com/images/g/bZgAAeSwJyFoGi3m/s-l1600.webp,US $199.99
